;Visual Art;Music;Performance Art;Media/Installation;Poetry/Word
;Artist#Ruta Matuleviciute#[LT] painting;Artist#Robotic Folk#[LT];Artist#Ruta Matuleviciute#[LT] “Music for the Plants”;Vygintas Orlovas [LT];Artist#Devin Cohen#[USA/MX] 
;Laura Slavinskaitė [LT] painting;Artist#Clockwork Giuseppe#[LT];Giedrė Šiaulytė [LT];Artist#Martin Ersted#[DK];Artist#Davide Castiglione#[IT]
;Monika Plentauskaitė [LT] painting, installation;Chico Fuendre [LT];Laura Slavinskaitė [LT];Evelina Dapkutė [LT];Artist#Ramune Brundzaite#[LT]
;Giedrė Šiaulytė [LT]painting ;Artist#Daina Dieva#[LT];Sylvain Soukaye [FR];Artist#Liucija Dervinyte#[LT];Artist#Lina Simutyte#[LT]
;Gabrielė Šermukšnytė [LT] painting;;Artist#Melanie Riccardi#[IT];Artist#Roberto Becerra#[MX];Artist#Ieva Toleykite#[LT]
;Raminta Blaževičiūtė [LT] painting;;Artist#Irene Ros#[IT];Artist#Birute Bagdonaviciute#[LT];
;Beatričė Danieliūtė[LT] painting, mixed media;;;Artist#Radu Sticlea#[PT];
;Artist#Monika Radziunaite#[LT] painting;;;Hasan Alp [TU];
;Elinga Garuolytė [LT] sculpture;;;;
;Artist#Tauras Kensminas#[LT] sculpture;;;;
;Artist#Birute Bagdonaviciute#[LT];;;;
;Artist#Rebeca Martell#[MX] Photography;;;;
;Artist#Anastasija Kodzisova#[LT];;;;
