Hr;Baltoji salė / White room;Mėlynoji salė/Blue Room;Raudonoji salė/Red Room;Oranžerija/Orangerie;Rounabout/Garden;Basement 1;Basement 2;Basement 3;Top 1;Top 2;Top 3
12;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
13;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
14;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
15;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
16;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
17;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
18;Performance ;Painting Exhibition ;Painting Exhibition ;;;;;;;;
19;Painting Exhibition ;Painting Exhibition ;Concert;Performance;;;;;;;
20;Painting Exhibition ;Painting Exhibition ;Performance ;;;;;;;;
21;Painting Exhibition ;Performance;Concert;;;;;;;;
22;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;Concert;;;;;;
23;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;Laser;Concert;;;;;
24;Painting Exhibition ;Painting Exhibition ;Painting Exhibition ;;Lasers;;;;;;
