Hr;Performance;Space
#12h;#Doors Open;#Trakų Vokė Manor
#14h;Artist#“Music for the Plants”#Ruta Matuleviciute#[LT];#Orangery
#15h;Artist#“Music for the Plants”#Ruta Matuleviciute#[LT];#Orangery
#16h;Artist#Poetry Reading#Davide Castiglione#et.al;#Library
#17h;Artist##Melanie Riccard#[IT];#Orangery
#18h;Artist#”Divinitive Memory”#Hasan Alp#[TU];#Basement Orangery
#19h;Artist##Devin Cohen#[USA/MX];#Tapestry Room
#20h;#Music:#Musical Blockchain [RU];#Garden
#21h;Artist#Music:#Daina Dieva#[LT];#Garden
#22h;Artist#Music:#Clockwork Giuseppe#[LT]#;#Garden
#23h;Artist#Music:#Robotic folk#[LT];#Garden
#23h;Artist#Laser art#Martin Ersted#[LT];#Garden
#24hr;;#Garden
